pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
107.25,-129.0,-90.0,top,R29,,,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC,220k,tht
198.0,-137.75,180.0,top,R30,,,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC,56k,tht
112.5,-129.0,-90.0,top,R31,,,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC,1Meg,tht
158.75,-112.5,180.0,top,R33,,,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC,220k,tht
158.74,-107.0,180.0,top,R34,,,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC,220k,tht
85.75,-106.0,180.0,top,R35,,,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC,10k,tht
72.5,-143.0,90.0,top,R37,,,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC,100k,tht
255.0,-126.91,-90.0,top,R39,,,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC,100k,tht
191.2,-119.25,90.0,top,R4,,,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC,1.5k,tht
227.78,-110.4,180.0,top,R40,,,R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal_TC,10k 1W,tht
156.06,-119.9,180.0,top,R41,,,R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal_TC,10k 1W,tht
125.5,-119.9,180.0,top,R42,,,R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal_TC,1k 1W,tht
93.5,-123.75,-90.0,top,R46,,,R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal_TC,100k 1W,tht
78.0,-143.0,90.0,top,R48,,,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC,1r 1%,tht
324.65,-144.2,90.0,top,R5,,,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC,1.5k,tht
185.95,-119.25,90.0,top,R6,,,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC,1Meg,tht
319.25,-144.2,90.0,top,R7,,,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC,100k,tht
313.85,-144.2,90.0,top,R8,,,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC,100k,tht
289.5,-119.9,180.0,top,R9,,,R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal_TC,10k 1W,tht
72.5,-118.0,90.0,top,RV7,,,Potentiometer_Bourns_3296W_Vertical,22k Lin,tht
78.75,-149.25,180.0,top,TP1,,,TestPoint_Keystone_5005-5009_Compact,BiasTP,tht
80.25,-100.0,0.0,top,TP2,,,TestPoint_Keystone_5005-5009_Compact,GND,tht
326.0,-100.0,0.0,top,W1,,,SolderWire_TC,FETB+,tht
85.1,-149.25,0.0,top,W10,,,SolderWire_TC,6V6Cathode,tht
306.5,-100.0,0.0,top,W11,,,SolderWire_TC,BassTop,tht
271.0,-149.25,0.0,top,W12,,,SolderWire_TC,Spk GND,tht
324.75,-149.25,0.0,top,W13,,,SolderWire_TC,1-3,tht
300.5,-100.0,0.0,top,W14,,,SolderWire_TC,BassBot,tht
303.0,-149.25,0.0,top,W15,,,SolderWire_TC,1-8,tht
265.5,-149.25,0.0,top,W16,,,SolderWire_TC,3-3,tht
171.0,-149.25,0.0,top,W17,,,SolderWire_TC,4-3,tht
165.5,-149.25,0.0,top,W18,,,SolderWire_TC,6V6B,tht
276.5,-149.25,0.0,top,W19,,,SolderWire_TC,NFBin,tht
318.75,-149.25,0.0,top,W2,,,SolderWire_TC,1-1,tht
336.75,-100.0,0.0,top,W20,,,SolderWire_TC,GNDFromInputJack,tht
